".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10"
"rmse","standard","49481.1610783533","53715.9931355168","51744.91119749","49456.1896585661","51223.7514869586","48874.0882568008","50303.1774989615","45751.1800544653","51046.8522989894","54175.1781278458"
"rsq","standard","0.437931022256138","0.406367892953348","0.357311356992905","0.353908457767705","0.348274196868325","0.384131687179078","0.41806226834615","0.402539724951123","0.427024972301064","0.356258019867233"
"mae","standard","29618.3487817275","29550.79633638","29796.0376224264","28870.7774828431","29221.6405301627","28174.8105666987","29159.301027625","28662.4549902791","29508.1877159968","29203.553184707"
"Bias","Standard","25356.0536067585","25597.6002942607","25319.5645929555","24341.5647140726","24767.9760985582","23815.355209253","25018.0341785411","24365.2527691327","25581.5101325484","24623.9372564889"
"Gini","Standard","-0.017607076045806","-0.0205212749328894","-0.0215159612575917","-0.0184031983721979","-0.0176610757098388","-0.015069951429723","-0.0212078114223004","-0.019146281536905","-0.02091572579684","-0.0215085292429649"
