".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30","prueba_31","prueba_32","prueba_33","prueba_34","prueba_35","prueba_36","prueba_37","prueba_38","prueba_39","prueba_40","prueba_41","prueba_42","prueba_43","prueba_44","prueba_45","prueba_46","prueba_47","prueba_48","prueba_49","prueba_50","prueba_51","prueba_52","prueba_53","prueba_54","prueba_55","prueba_56","prueba_57","prueba_58","prueba_59","prueba_60","prueba_61","prueba_62","prueba_63","prueba_64","prueba_65","prueba_66","prueba_67","prueba_68","prueba_69","prueba_70","prueba_71","prueba_72","prueba_73","prueba_74","prueba_75","prueba_76","prueba_77","prueba_78","prueba_79","prueba_80","prueba_81","prueba_82","prueba_83","prueba_84","prueba_85","prueba_86","prueba_87","prueba_88","prueba_89","prueba_90","prueba_91","prueba_92","prueba_93","prueba_94","prueba_95","prueba_96","prueba_97","prueba_98","prueba_99","prueba_100"
"rmse","standard","43315.0999775939","41302.567213643","38835.4495174023","41864.502342199","42743.6640947586","38746.8970160327","36019.6724149384","43316.3681440388","42741.0043873489","39321.0663702426","41320.5519206808","42541.940363319","45523.338129266","43501.2617912566","40977.5703219295","39664.9626632124","42845.1289205446","43179.0421044721","36822.1737374433","40317.6758143683","43827.1599266044","37250.8819109783","40758.5136339141","42430.7385190234","40159.1536938307","37515.2818985493","41625.0408280854","38846.1751409193","39630.9141210564","38897.1889886783","47386.236485311","41108.6573921082","42687.7863828817","40580.901640033","43059.6183883069","38966.9767180568","40264.558501132","39717.1393577539","44337.5896113974","44377.6449136229","44014.4278582911","39913.673043368","40265.901991678","44805.4698256333","43731.0064033256","41899.27048995","45513.0181293272","42472.6565036981","40704.808476169","43633.279352532","42861.9672492308","41228.7277494668","40791.4321322849","42851.894454089","42737.2007197543","45667.0271901986","37783.6807919329","44244.4846069745","41435.7680622496","45493.710640718","42667.9456525379","42291.7010871953","44565.9370248761","38496.1723213748","47493.1203092154","38563.063267825","36395.5639472745","37080.9066609472","43229.4245452456","41306.2575248073","45338.4499152024","39316.9442689848","40745.0845542932","43091.4386951993","40475.2566658888","41538.9551163104","41779.1734500275","39595.0147111151","42083.7586734849","37550.2640670255","47134.831990076","47369.4566799768","46220.7429653058","39385.5053134443","43486.4459844313","46425.5635896367","41323.5394389498","41915.7914514275","44406.5765582414","41937.0571960542","45700.0901615607","40123.2345841119","43846.2620915968","42748.5289874765","40238.242498441","39867.5010661542","38094.8803624293","42713.1175116079","39672.9647666224","38701.47407862"
"rsq","standard","0.40725996656394","0.437500782869052","0.460492089895363","0.441396690066057","0.469738342371944","0.482013829999318","0.490929442593033","0.438803419117976","0.423197021522548","0.435045160225817","0.443255544811787","0.439733938974251","0.434775209356453","0.457583679362285","0.44436374472622","0.448713090106687","0.430443894721664","0.43691643175864","0.451898735186675","0.45701567492468","0.411820851825539","0.487202383935228","0.443356895507005","0.414306592404417","0.478341594240068","0.465644614330515","0.402759039595111","0.415889019836531","0.431918655741532","0.45660651585762","0.430409809961477","0.427992157102205","0.446945462408479","0.458515475250008","0.429886578554777","0.437122035374599","0.416395056146122","0.480650280825124","0.419917980374343","0.422677319473128","0.410202929583399","0.410151656087058","0.449628076763232","0.43835066240797","0.410060311483975","0.401753067383262","0.416079969292976","0.455124957359935","0.425143542256398","0.439423216765445","0.44214253044665","0.42800093099003","0.431256120096529","0.440185645961546","0.445057141819519","0.410133594256809","0.468950617299835","0.428274962838076","0.408291729917992","0.395872563647969","0.432235050225385","0.407487867205447","0.403255661861115","0.44356283683898","0.386172373523921","0.430200387092897","0.46963654960665","0.470972530297881","0.433672849510603","0.44516498218115","0.391289179980689","0.478104959010097","0.422295510603308","0.417097588744266","0.451471978622978","0.442481927069895","0.45131598056303","0.496398948866084","0.42873443665605","0.461164253189715","0.373534055405394","0.42391216959023","0.430066553165306","0.43358348150697","0.425924248027013","0.453392915935884","0.441549949057597","0.42782250646174","0.40754398332288","0.419003792171261","0.400657910555485","0.444199905692023","0.432622800203793","0.425711081518557","0.435089164512728","0.449952546028425","0.45344346474457","0.472260138321638","0.435594994908851","0.462825071244324"
"mae","standard","25564.5526521538","23203.175489946","23355.1365858325","24812.0466172468","24854.9074068858","23660.9366441629","23363.3845447344","24812.140986507","24333.1382641653","24190.9219509636","24322.6957410733","24197.5875572494","25087.4490369648","24365.1278060526","24591.0971776149","23898.5626369615","24726.0685394706","24759.488501482","23800.9663063161","24551.7028668229","24550.762725775","23605.4364925366","23395.6723676618","24033.3837913948","24448.7042216205","22701.0862180158","24131.4209680707","23722.7759348246","23433.5537339533","22702.8354742975","25930.3045497996","24149.8242155121","23590.2969442239","24231.9139827592","24057.2696265807","23413.835435906","24115.2496645829","23862.4992721013","25061.1512770416","24627.5293863669","24427.5471526422","24212.3283448872","24704.0680229706","24608.8105807086","24872.2969135277","24398.1000297885","25257.7994539506","24283.0123478701","24924.7796828548","25030.8251732716","25083.0070934444","23719.5906876652","24428.1224559662","24689.8876491792","24492.8984326129","25509.962441789","22814.3034524933","25478.1979838704","25298.1493619955","25676.3019273135","24403.7625377293","24473.1788680593","25292.9055879705","24291.9670587026","25309.1307227622","23975.513575462","23512.6885844965","23268.8820558577","24290.7339837031","23987.4778716438","24929.1631300107","23651.7980131612","24576.4443242214","24860.6618019815","24677.8936280022","24530.1665584832","24052.1824203287","23842.047979285","24397.6449846166","23451.546309754","25746.8554178118","26107.7184255469","25163.6125677502","24110.2118848241","24753.0723619472","24884.8438256813","24422.0887463053","24083.6028004991","24137.5988176275","25005.8889859926","25052.7143691837","24742.9577331963","24869.7803539726","23828.4592569452","23911.6093067722","23531.2636207931","22917.387395726","25233.6070914302","24394.5874062359","23884.952897754"
"Bias","Standard","5966.22858212986","5404.88912760064","4536.64716193024","5447.35378642555","6704.84169200218","5622.12239489398","4687.63334869049","5918.72732759372","5541.3251964698","3572.0994192082","7203.63327604654","5610.97979669535","7309.81863255506","6816.69821851751","7138.4352257288","5164.10610801234","6832.76317196355","5683.55227529077","2345.25003461366","6175.92469155632","6085.27768038043","3431.44726944364","5917.2511484271","5332.89510987316","5702.46305339986","3846.25133267267","4029.16054114206","4855.49068480434","5897.61275538026","4855.91778539443","7822.65247143884","5989.4184853022","5411.97912407102","5635.80123173387","6606.32395766375","3773.9496317403","5755.60523487695","5265.68885943717","7333.57805987819","7567.76902706404","6387.75003772993","4402.13748270699","5039.87135752415","6249.07114402271","5350.76546738629","4284.87190935311","7380.07178228097","6836.5707205985","5957.03039304074","6680.17860866891","7241.74949193747","4431.13256860256","5177.74373195337","5640.17917750168","6208.76200597771","4586.85822990166","3303.34111930276","7538.24681510781","4683.33619178347","6664.58162791078","5444.14337190455","4975.26852650512","6371.88684306234","5787.27418278978","6753.34397870474","4203.28435613698","3644.97534334219","4895.15876647374","6591.25990362827","6216.66615317856","5803.13839516617","6018.94541021454","5719.08588911308","6780.00315848555","5913.3213755816","6663.4925685322","4738.99971157396","6066.24041367744","5428.64108506888","6084.28610568133","6667.21186792539","6825.22983101374","7446.3107452176","3942.92039771069","7107.5671046953","7257.42600284936","5905.38791108197","5946.91700805974","5304.75923440828","7014.65162772059","6083.76511223651","5577.67206823507","6850.84899046349","5344.7808139517","5593.97000357327","4875.39530477593","5042.70854124082","7668.75791805282","3344.55324177394","6404.5032142508"
"Gini","Standard","-0.0529947186082609","-0.0595914802470361","-0.0604022652141794","-0.0604330816486254","-0.0646473026936292","-0.0572710748497229","-0.0559806762908011","-0.0623491974129138","-0.0618684792443673","-0.0585993086269809","-0.0605717688827099","-0.0596844864603554","-0.0573779920287052","-0.0589779743950203","-0.0599515177614194","-0.0586898603355621","-0.063831107153419","-0.0598752068667636","-0.0570923748259702","-0.062907828286825","-0.0600079613063826","-0.060016419450676","-0.0615125593621997","-0.0575792075305799","-0.0619937023916464","-0.056946394473016","-0.0618055400136654","-0.0535809261732538","-0.0606491746902975","-0.0614253960357019","-0.0642490143764007","-0.0582557125226231","-0.0602512908671997","-0.059819741161391","-0.0613277863012627","-0.0562800583979879","-0.0600926617476034","-0.0600933313007772","-0.0586781867377795","-0.0649936555910244","-0.058659967156018","-0.0569056905737853","-0.0606065547904109","-0.0637507381052274","-0.0573022376947847","-0.0614031838135816","-0.0622629383833555","-0.0596005540278384","-0.0603527920234228","-0.063366638604748","-0.0619257594557894","-0.0595091535697065","-0.0555209064559676","-0.0597578758033706","-0.0604139360375484","-0.05933422346925","-0.0562769294488135","-0.064472146193566","-0.0576764891284256","-0.0597416040022836","-0.0645086214672119","-0.0602324358442274","-0.060894994283899","-0.0603681532343217","-0.0612147036131319","-0.058944752404841","-0.0531218949813592","-0.0581926045124419","-0.0582805850890509","-0.0614033246215513","-0.0600684344394722","-0.0584684887685398","-0.0569353700630018","-0.0576263315620054","-0.0549704893242051","-0.0595220552841056","-0.0624285966800926","-0.0608343480835174","-0.0559163528801037","-0.0611454218988001","-0.0605247918156238","-0.061654240030748","-0.0616203089321061","-0.0607085545634618","-0.0628420724456191","-0.063785147327053","-0.0576406392547142","-0.0573286461162752","-0.0604934130092261","-0.0590796756996497","-0.0604481068889982","-0.0578155784796763","-0.0659435756501807","-0.0598934501595068","-0.0583854388582949","-0.0564928111907648","-0.0591014278938928","-0.0662960513577673","-0.0568407556079364","-0.0568029514056434"
