".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30","prueba_31","prueba_32","prueba_33","prueba_34","prueba_35","prueba_36","prueba_37","prueba_38","prueba_39","prueba_40","prueba_41","prueba_42","prueba_43","prueba_44","prueba_45","prueba_46","prueba_47","prueba_48","prueba_49","prueba_50","prueba_51","prueba_52","prueba_53","prueba_54","prueba_55","prueba_56","prueba_57","prueba_58","prueba_59","prueba_60","prueba_61","prueba_62","prueba_63","prueba_64","prueba_65","prueba_66","prueba_67","prueba_68","prueba_69","prueba_70","prueba_71","prueba_72","prueba_73","prueba_74","prueba_75","prueba_76","prueba_77","prueba_78","prueba_79","prueba_80","prueba_81","prueba_82","prueba_83","prueba_84","prueba_85","prueba_86","prueba_87","prueba_88","prueba_89","prueba_90","prueba_91","prueba_92","prueba_93","prueba_94","prueba_95","prueba_96","prueba_97","prueba_98","prueba_99","prueba_100"
"rmse","standard","57411.187304384","49466.2226980842","52976.103280381","52439.8024381511","50619.1485173589","54405.8529276926","46475.4962496891","51146.0662650881","56096.7933312219","56258.4191263584","54366.0651698457","49877.832054523","57116.1161462685","53602.4167691999","52936.8719916098","50859.9912103304","59067.1785860377","54004.3795785295","53074.4195848544","52867.928327569","48591.340752518","51673.0093657504","49910.1517534956","47821.9699614172","57916.1113615996","51906.581238352","52562.8778480144","46210.9665298717","46997.0743645465","52428.7248406808","53523.1822216042","51774.6387220625","54862.8189726534","50603.9509521122","54973.0283599981","52482.9401710336","49015.5638773654","50273.5726263918","49885.5438524943","50816.9515831086","50386.5347958488","47522.6600906687","49940.8917139867","49150.5416373892","49838.7722716296","48084.4111699028","52728.4732919338","55338.3937490333","48154.9039461557","51499.8220185152","52319.7795914694","53909.3850639186","53500.2095723108","52183.3027428018","53213.6102179095","51323.1760028845","54180.0697607846","51416.9694810212","47847.5599838326","60382.2085770497","46583.5492708581","51591.2064371772","52568.316281475","48685.3501268031","51169.2505299644","50010.2654963473","52264.20630108","53348.9142006919","50447.0388120104","57810.0359001384","49118.6087347913","50756.4512962109","52512.2746370808","52500.5731605551","49015.0806663485","50070.2172733837","57456.5619009417","49272.7575675443","50101.0180765265","55952.6782966599","52879.3988812818","57132.6983105174","47670.1750788899","53345.19703425","53506.627042573","51088.4022326186","50008.3101130315","51679.2208292132","51663.7527939718","52753.4883292716","52991.1782239178","51449.0525524781","52457.9208915691","51458.752282843","53839.5388090386","49186.9555174318","53066.5564074643","53605.4632829894","53599.7275966832","53875.7418782648"
"rsq","standard","0.37213098841073","0.347456252034689","0.349097655152729","0.350723761039243","0.390239593914222","0.317961068561954","0.404792292306488","0.33650639558569","0.394853967724298","0.397706284512403","0.333386598896408","0.361192398590423","0.351752760408083","0.305891131300296","0.369385891975489","0.256362517698701","0.351140981986395","0.39701243511117","0.3836626508653","0.437659843279595","0.361806760270953","0.378244190705746","0.431397504123822","0.38287799883126","0.262697101684","0.371206998331479","0.401082752124571","0.463255674196024","0.409521496268807","0.414210519300509","0.27531079612532","0.399471923172164","0.416750277989385","0.414101660451053","0.395560708053036","0.368107047293977","0.442723647521309","0.423541672590605","0.429826474623504","0.364839636883397","0.453981447340471","0.485301823376707","0.430891191168595","0.452158503354534","0.397316495009459","0.418832091760892","0.352530319782929","0.290817614112252","0.389456401921925","0.431998431641964","0.317961593502836","0.320811230250425","0.342120182229906","0.338831169690219","0.325875187837046","0.347344255654441","0.354965078942373","0.384391521540243","0.405335731552968","0.254782789851685","0.434617174582498","0.365246295923342","0.372276386971786","0.37704894324619","0.327191759939125","0.390657081046462","0.394912734352903","0.369604463275782","0.33418836197591","0.299686007122427","0.401182154830704","0.370657756975632","0.360880547230314","0.374118471658185","0.395558196105207","0.406659070971465","0.287179113671554","0.390641582096932","0.409331033513164","0.412349916695668","0.372139508224947","0.342541214166241","0.395876502381039","0.377166720176498","0.311458562416881","0.360153999815803","0.401294442587182","0.400559563824114","0.438606092541321","0.363388200201915","0.312205059544127","0.429878813053352","0.346042419230234","0.355577509634899","0.343470548595561","0.437464525224414","0.349501578848889","0.397988718617454","0.402846576116344","0.303949866270812"
"mae","standard","31022.6146769606","28795.0292483364","30139.8158599673","30173.4230425151","30161.536653698","30266.5669392655","27696.0766182288","30061.8217440258","30583.6800374219","30893.3312274805","29753.3364333473","29596.6120666632","31450.2026926224","29823.5997567409","29951.1556315179","28855.8809808274","32016.8805929472","30052.4683876829","29873.0805323636","30404.0327959704","29079.6311026247","29583.3636239306","29754.8778148092","28435.0612590145","30311.5568548971","29509.6945774536","29363.3983610167","28696.5611165613","27909.6692593084","29764.8820416713","30340.8998962988","30189.8291545945","30461.5228734146","29466.0860893675","30087.3706094155","29528.3989290283","29737.9909759779","29481.803622282","29514.6724730682","30007.5723465326","29602.7293162898","29018.8003894569","30210.7100454179","29463.4717494298","29456.7027284299","28456.7419190384","30340.2322513835","31492.1852522449","28061.5580019265","30629.1581962695","29633.1201447242","29834.850318114","28707.733001166","30328.5030668218","30153.5891796259","28717.4346533334","30179.8540642048","30507.9204089588","28842.8484340934","31735.3855933329","28925.7010203994","29735.8604383274","29921.0033844295","28074.6851897534","29202.8666105205","30040.4393642436","29456.5907273066","30078.0046276272","29187.2170483291","29606.606594706","29370.8607509754","29324.9836504264","30029.0387410746","29877.5286013791","29250.9733292263","28956.2254818143","30567.9309310284","29572.979097764","28206.7867014677","30340.9067595297","29941.2049944944","31090.9488423638","28391.444054738","30607.4471109271","30313.1612129207","29311.3203800221","29486.0932625275","30418.8490593251","29491.6503495562","29880.3119804585","29383.4270729725","30492.4395610339","30628.9056197081","29340.1597586384","29969.6089731344","28623.7282980806","29684.7802508015","30391.412010934","30379.6749050797","31109.7810384653"
"Bias","Standard","27348.1575757219","23857.0631312242","26277.4389484559","25836.3252901462","26064.2762521389","25649.3028736953","23132.9323975469","25125.2190486269","26454.899639061","26868.6185698495","25379.7058007431","25263.4152900305","27443.7558203013","24733.4493499844","26109.2250093422","23831.481454251","27742.6499125951","26533.3163540563","25953.971998263","26105.4927318707","24125.1952258876","25759.8775719973","25367.9059150801","24079.7105530198","25220.7440547252","25233.2770092554","25193.3620725509","24636.9648060964","23438.895520591","25862.3662263793","24959.8961299912","26075.3094396938","26262.09593379","25102.6984789358","26236.2990582629","24903.8453108746","25528.0718337377","25390.9875390662","25290.1663802009","25806.0261299719","25552.8929669407","25043.063885481","26425.7862211968","25700.7828405071","25181.0134865592","24436.1546941631","26091.265988006","26619.7395976042","23734.7633330623","26917.1908443656","24597.6767708418","25202.9254174059","23969.7338937836","26005.9162409638","25384.9872546465","24260.5488362281","26074.7726371647","26246.3534503854","24759.3162608583","26749.4652888076","25105.940761456","25053.0985497938","25916.3043744236","23642.7214229542","24263.1670522223","26075.6033541489","25204.1916055986","25659.6042016211","24546.0870473305","24555.6522925452","24697.740119662","25665.5262197614","25651.7872613489","25486.7874650688","24937.087726787","25114.5506994878","25743.2633211542","25380.8923099841","24156.6437870618","26639.5209602615","25905.6723232708","27029.5350758206","24129.4487320313","26151.7967935372","25450.8272359631","24674.4129668835","25661.5668395707","25982.9999757815","25447.9653143207","25713.225717345","24676.9152388074","26730.2318312621","26452.3800150845","25218.7233102557","25353.522001379","24553.3412294626","25336.8327605673","26702.6204058087","26785.1709210307","26584.5064451018"
"Gini","Standard","-0.0218049482937204","-0.0166182823186318","-0.0183965579531105","-0.0198794363877823","-0.0205987767026272","-0.0201005275489479","-0.0173336912394007","-0.023550649254048","-0.0192594624454614","-0.0216567227084852","-0.0224229774553351","-0.0199399444418304","-0.0215711501200531","-0.0213437345055354","-0.0213764057966728","-0.011678269388085","-0.0247043891231442","-0.0197188409715636","-0.0184939965861304","-0.0245875811779115","-0.0188711114965372","-0.0199015170783241","-0.0230004403924795","-0.0117408923424591","-0.016883914988739","-0.0177902610107594","-0.0202803065485568","-0.0207012502846737","-0.0182898547668628","-0.0217415421357146","-0.0203748692529189","-0.0215777180783334","-0.0269071308298408","-0.02440492532196","-0.0218638845885835","-0.0200912481559499","-0.0221751939552632","-0.0213560935621899","-0.0192380828907517","-0.0161727153090396","-0.0210275462918617","-0.0237999931387094","-0.0219807246771779","-0.0222040202361313","-0.022862562885166","-0.0139766359939131","-0.0206288698332173","-0.0190695740384399","-0.0174044476502786","-0.0220583523378082","-0.0210241458821656","-0.0201168965245415","-0.0209050300632043","-0.0190231647002292","-0.0244736930076215","-0.0181081134287524","-0.021435624363221","-0.0223555218981346","-0.0155239937434999","-0.0266164736062819","-0.0153684569868346","-0.0169291656306996","-0.0224417668400747","-0.0181683553064431","-0.0178453251191968","-0.018998727759481","-0.02034510862768","-0.0216946739892592","-0.0201971023275291","-0.0217576447016654","-0.0228508844529642","-0.0171904384146728","-0.0188393804683074","-0.0233864933952646","-0.0191144655868811","-0.0181238166715048","-0.0217340039721421","-0.0168885044772651","-0.018431336082358","-0.0199804319377108","-0.013468741205088","-0.02299837544615","-0.0194027750349051","-0.019347835975168","-0.0193425296674832","-0.0207836883914752","-0.0209997134988953","-0.0241410309185994","-0.0236380244082284","-0.0233594873056973","-0.0205202304446175","-0.0233545173464336","-0.018148051909975","-0.0249913096572527","-0.020923833696088","-0.0197028090888125","-0.0198606461262898","-0.0200454346527295","-0.0189107869364307","-0.0246693957528805"
