".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30","prueba_31","prueba_32","prueba_33","prueba_34","prueba_35","prueba_36","prueba_37","prueba_38","prueba_39","prueba_40","prueba_41","prueba_42","prueba_43","prueba_44","prueba_45","prueba_46","prueba_47","prueba_48","prueba_49","prueba_50","prueba_51","prueba_52","prueba_53","prueba_54","prueba_55","prueba_56","prueba_57","prueba_58","prueba_59","prueba_60","prueba_61","prueba_62","prueba_63","prueba_64","prueba_65","prueba_66","prueba_67","prueba_68","prueba_69","prueba_70","prueba_71","prueba_72","prueba_73","prueba_74","prueba_75","prueba_76","prueba_77","prueba_78","prueba_79","prueba_80","prueba_81","prueba_82","prueba_83","prueba_84","prueba_85","prueba_86","prueba_87","prueba_88","prueba_89","prueba_90","prueba_91","prueba_92","prueba_93","prueba_94","prueba_95","prueba_96","prueba_97","prueba_98","prueba_99","prueba_100"
"rmse","standard","63897.0518388796","62896.136921096","60634.4000116291","63018.1974347081","61964.368298272","60215.3051394464","63608.1675885644","66087.8499042892","63365.7164338307","57978.8508170917","60834.4251911513","62068.256122025","62172.6985802859","62726.6005294936","59302.1735067964","63282.4939653613","60126.4544300023","63305.5359701332","58419.2266182997","60839.6068514102","63640.2549192043","60046.99983742","60428.0927231902","62371.6731232208","61773.2764079002","61580.7849334523","64489.2923998755","58544.2579140504","58884.9219976175","58039.8382369328","63249.9156496839","58861.773550327","61344.7915772747","58672.9106230847","62665.5842709083","61898.6841295475","59589.5944651619","60497.9954070551","60394.1489222573","59428.8545695907","60724.6068926633","60012.881577375","60520.7633163651","58630.3607658368","61954.2198580115","56847.6687450401","60147.4967807517","61260.4013665901","62267.1465377431","63559.8477294335","57494.468995228","58466.0291940954","60328.3534739894","61383.4806280316","61219.9442019949","64028.9733916812","57525.9546766863","66189.264494554","64406.4394769465","61809.6199699644","63803.8758190871","55725.1257029808","59620.6271075932","61484.7682092462","60719.2397090726","58410.8387458218","60783.5503731712","61274.4588198915","59189.7866602862","59333.6679746081","59690.6482002345","61698.955933289","59785.8207708784","60372.7202984451","59338.852862366","59814.6513599977","64070.9359809675","60824.6120598287","62363.6053233743","63676.5201093844","61965.5385170798","59714.1771184503","63027.0846725679","57821.8262758243","62590.750311216","64035.6855496284","62249.4454216161","61155.7152044749","58848.4306218194","60011.9418586744","62918.4773355142","62763.5047871071","62791.8674439347","60742.6281256137","59886.0445727727","63235.4784467494","63716.5462070568","62359.5284904382","61240.3214633437","61876.8708070251"
"rsq","standard","0.368759803108056","0.346936577806369","0.42337432118422","0.373926822168205","0.402076917215319","0.421083770502154","0.393257200525381","0.353294254520768","0.372211717101619","0.438597730868824","0.388153131907244","0.380195897855352","0.379807833554937","0.377702696714725","0.433235835755729","0.374546644188187","0.423144367282074","0.392938347078508","0.439214260738732","0.401655383054913","0.373978159982571","0.438129004594086","0.394814152781069","0.401870292471643","0.353045277183819","0.416324237843498","0.37602299978279","0.408612124730696","0.406746565369666","0.465524804602804","0.365438870865612","0.451433921792819","0.391913215576035","0.426436094274319","0.389467230339457","0.384633672347197","0.396687893368423","0.415728048553165","0.406849073643693","0.43766902431675","0.382391451945578","0.439121921721045","0.414441134330228","0.451809664738199","0.398980607820449","0.458335093193056","0.405884199006933","0.397173064554474","0.371441820954553","0.403056176381662","0.455924521617618","0.410329422398416","0.427654975220387","0.402665646734955","0.373356492337765","0.37078210415001","0.438027936757016","0.363538407414699","0.395211838907032","0.375809870755738","0.353870005284782","0.492708928757816","0.412913390403066","0.407060660797457","0.426920891423971","0.450820159900309","0.406055323273454","0.416990715492728","0.435007012627448","0.405725776742054","0.415456886978614","0.381526376598704","0.431676555653846","0.41578176163962","0.41309293004107","0.411284323788972","0.347489239052142","0.400373301124893","0.368748138045945","0.39819837348375","0.366308532500248","0.405411089815216","0.392939894015753","0.444399726440205","0.385169888590293","0.378091966346349","0.413334979447479","0.419453683479476","0.443456577066697","0.419797706636212","0.377876595392944","0.378205750606906","0.403815410808327","0.402743667301766","0.432341179681852","0.390649817369931","0.373024958825833","0.390001311101001","0.397885431304401","0.412355768364444"
"mae","standard","46050.6758212948","46078.0698944933","46074.286000651","46113.2824224803","45623.9300735083","46121.9322157389","47627.237854209","46791.6710971478","45769.5399635587","44087.7623174259","45513.9885832303","44980.9482356373","45527.8439202844","46914.4781527028","45519.8210508532","46750.0635084779","45954.3861455592","47310.9776000638","45038.5078156019","44946.0114700818","46245.5833597814","45305.0119172309","45043.8932438294","47514.580202923","45963.6830906675","47304.9854004897","46703.1600826794","44778.2545659005","45093.6396584113","45585.4979221376","46609.9329043737","44992.2010520292","45040.3078965938","45532.9918151514","46594.3055164146","45619.2006434386","44347.7911523967","45127.7785923032","44817.3863149931","45013.4273071453","44296.5325463871","45362.7682393525","45250.6390735757","44209.0540696819","46903.1762948464","44279.9744708923","45105.7838683997","45329.589955749","46939.9133369843","47473.4927616565","45552.742547738","44221.8994505411","45487.0772377749","45570.8265738959","45270.2758610235","46872.212283314","44506.6702914379","46951.4998789605","47252.5873405268","45537.7148925231","45753.638428982","43937.811272445","45261.6504108687","46522.2957677964","46081.0420421303","45591.0739599325","45028.6188689382","46227.918918487","45988.2338672202","45631.4249490115","45484.7592760731","46407.4327386882","45870.3126112244","45012.8599698907","44742.7369876163","46494.7397888394","46995.7872602963","46050.0155231201","45267.826410429","47175.7828678453","45684.3914845022","44969.8913880718","46724.185938901","44850.392041005","46976.2599248611","46672.6165821321","46926.34757997","46450.9800274074","44910.4365817396","44872.8066166458","45869.7314104479","46444.6497203641","47171.8124964148","44951.2321258477","46091.2265015732","47898.0527398248","46809.7878147889","45363.1203983903","45121.9709316862","46477.2141199338"
"Bias","Standard","-37951.508717689","-36134.7579087275","-38383.5985130351","-37534.2794978344","-38079.3234241173","-37633.8201667328","-40580.2411847982","-39023.0479089273","-36439.0893081988","-35509.7865996952","-36822.4443170821","-35838.5540822796","-37178.8522660038","-38320.1642743948","-38321.9750777943","-38718.3632708217","-39100.1373665912","-39333.0907801373","-36133.0310482404","-37373.4416983221","-37773.4372435528","-35862.1397615942","-38045.188227607","-38432.694326229","-36554.8677731066","-40169.4454544559","-38687.0145629901","-36495.3726144588","-37009.1729615034","-38411.3730531798","-38094.7209817393","-38129.6529281119","-36156.1778583642","-36489.1498596882","-36102.9191725979","-37373.653326498","-37137.6669048686","-36241.4007375253","-38209.0844796632","-37871.2657829342","-34302.1874799692","-37855.7087716906","-37519.827287362","-36431.9793321864","-39494.9201848572","-36894.3396674656","-36074.2863689521","-36261.1923397485","-38495.159960143","-41085.7859472129","-38257.4157174598","-34842.5422727864","-36075.6529760199","-37429.4962209543","-36627.3745837194","-39263.8622348333","-36038.7240489012","-38611.0489288248","-40409.7532228495","-37094.5209962172","-36459.1658656293","-37830.82242571","-37847.2863866524","-37466.3576814074","-37314.3463348058","-38606.8451493205","-37186.7482970609","-38210.0485184385","-38189.5386904033","-37414.3448816615","-37601.3254255335","-38418.8051797705","-39364.6544546968","-36776.4787497204","-37499.756803905","-37432.5678755526","-39673.1154243422","-36831.5631094093","-34248.3151422911","-40478.4135814811","-37578.0910889456","-36437.3987004676","-38778.7095983036","-38317.7175318927","-39473.3820987316","-38540.0896807237","-38936.8557445395","-39156.9238756795","-36339.8679346855","-37594.2166639668","-36301.8384251774","-38632.6915119004","-40107.0847910392","-37159.5589868368","-37954.0396108876","-40334.4632630537","-37894.2422191959","-37418.9145387563","-36567.943630549","-38253.128055228"
"Gini","Standard","-0.0228834100585118","-0.0249075775363963","-0.0255289569013257","-0.0254980391600839","-0.0206016903789532","-0.0241367162402639","-0.016634329047065","-0.0206672356489435","-0.0288450550192465","-0.0273103063823328","-0.0273721538064819","-0.0228492795340571","-0.0234575433969439","-0.024714257992855","-0.0270047372141562","-0.0225182275958105","-0.0261326299928442","-0.0194638333500734","-0.0257827882687707","-0.0222075291235342","-0.0248978235317736","-0.0227159303467488","-0.0250288670217742","-0.0274076090186099","-0.0246795316097632","-0.0202267112390473","-0.0226768686839023","-0.0285699612863937","-0.0274222154798736","-0.0245152698653328","-0.0216229943257531","-0.0258845939742969","-0.0237531842917633","-0.0245613653173677","-0.0272242606374675","-0.0216439934811206","-0.0233522313751564","-0.0256600799748412","-0.0226330091918499","-0.0233329307152417","-0.0296787788479378","-0.0208663783646443","-0.0213443668467335","-0.0205146732532739","-0.0210684044218397","-0.0244391861697295","-0.0205911468979139","-0.0299953016406107","-0.0239564866824367","-0.019761612664297","-0.0288667593581522","-0.0295239408455927","-0.0327700931052277","-0.0257265860618645","-0.0275450322837969","-0.021328416697088","-0.0293642105912113","-0.0237278554100158","-0.0237082056373765","-0.0264361644676683","-0.0241790869104079","-0.0212419859594775","-0.0223368700681021","-0.0236100853708194","-0.0269923255100366","-0.0230200055284513","-0.0219590009087369","-0.0228430202519121","-0.0246064915977513","-0.0266865897770003","-0.0238495759945181","-0.0230720492804721","-0.0269088708778327","-0.0267232500423233","-0.0222948723012451","-0.028947523446277","-0.0209866012596649","-0.025739454435552","-0.0261313312116727","-0.0200077744575538","-0.0249722043681686","-0.0272811637873929","-0.0176973003867715","-0.0235151844035499","-0.0204321470178002","-0.0201540408443179","-0.0231481774621898","-0.023161368743331","-0.032582469582394","-0.027870377641193","-0.0261215453733712","-0.0264713726946866","-0.0224779454520103","-0.024460261886361","-0.0219295598208191","-0.0209841953233081","-0.023751215970151","-0.0213992286276152","-0.0256460858736318","-0.0269040693015086"
