".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30","prueba_31","prueba_32","prueba_33","prueba_34","prueba_35","prueba_36","prueba_37","prueba_38","prueba_39","prueba_40","prueba_41","prueba_42","prueba_43","prueba_44","prueba_45","prueba_46","prueba_47","prueba_48","prueba_49","prueba_50","prueba_51","prueba_52","prueba_53","prueba_54","prueba_55","prueba_56","prueba_57","prueba_58","prueba_59","prueba_60","prueba_61","prueba_62","prueba_63","prueba_64","prueba_65","prueba_66","prueba_67","prueba_68","prueba_69","prueba_70","prueba_71","prueba_72","prueba_73","prueba_74","prueba_75","prueba_76","prueba_77","prueba_78","prueba_79","prueba_80","prueba_81","prueba_82","prueba_83","prueba_84","prueba_85","prueba_86","prueba_87","prueba_88","prueba_89","prueba_90","prueba_91","prueba_92","prueba_93","prueba_94","prueba_95","prueba_96","prueba_97","prueba_98","prueba_99","prueba_100"
"rmse","standard","48925.2328873495","41510.8826878301","46258.482694227","46256.8071922004","47186.2246014667","47273.0243839225","43365.8002198514","49707.4645366207","45645.9564410958","41295.0068781849","45028.2914116108","42287.0433639279","43566.5592378018","45066.4037497144","45529.1353265961","52920.6601346321","42248.091057447","43200.8670226805","47199.5090559493","43235.6029027043","46276.1902084782","44721.411016111","43807.3701630095","48699.2988851539","48391.6758829129","44106.9642848364","48005.2716348223","49743.1086048215","44667.8206319887","43023.5575510373","51407.7100409612","50595.1105035162","43720.3018254183","49913.0420793844","43585.7073028962","44388.1778702157","46914.7806578126","47456.7395195411","47802.8016820652","41832.0481434115","44971.6515860558","47885.8073399038","45711.9009939752","47043.8344674112","48246.9802530267","43147.3199890804","44322.5900976137","44732.432769177","44267.7393268867","47544.5399280659","47021.5760549531","43439.551111669","45724.4312300742","41446.1107361335","48370.5745169506","43759.8155893567","39253.6945087811","45762.3927173839","44327.990395315","50749.5349632677","48991.0208185787","49436.3903180259","45158.4191211385","45203.4039318398","45012.439755506","50292.3872073685","45018.2155889405","47152.5941391802","49511.7026962339","48266.3870596665","46500.6012130449","43545.2193732059","46034.042203088","47703.2274019834","43949.313992848","44081.8775180512","47048.5738280629","43135.2017033935","39033.532674842","45805.3194360702","46792.5493214977","44897.777265045","51790.8152282884","45126.4384745437","47492.8555659703","47881.7427277016","45314.2101732536","44927.3336227574","49996.4349662166","41261.0434062769","45050.7266759666","46776.9712472871","44249.2774323736","51796.8761104953","49181.7910154276","46665.0111042443","49222.100469813","45001.0110717069","43094.8323718237","46257.1933086227"
"rsq","standard","0.29113896528018","0.346505084342242","0.305816646016567","0.294772504418874","0.315532968021865","0.293397828523251","0.31495770744257","0.27538163551373","0.296473142160925","0.342698845779443","0.337828703459966","0.339923182585807","0.335064332423087","0.314740944697782","0.307463337337877","0.27846520752074","0.337489759192485","0.325877183823669","0.316083990066418","0.328136025072435","0.292444875354089","0.31882054560464","0.316732133745935","0.293454705041003","0.311156759508917","0.33904033579607","0.312755998802406","0.303986353072468","0.311013603154305","0.344938478148997","0.290888958484289","0.303377422796473","0.329896522585805","0.280138747969467","0.33292379983973","0.32876306832856","0.310579550203276","0.310967535514117","0.315755896143101","0.329147330900277","0.319600061331018","0.296663244120052","0.313035760661433","0.316619025295676","0.303317119956122","0.344985525624843","0.345650632015814","0.323554544731189","0.322126361071832","0.314011471434683","0.298856401779069","0.321928788405012","0.317860885167845","0.367570257717985","0.289805621322774","0.329690857373332","0.350855513713858","0.320201108594816","0.335926925369807","0.315456741932888","0.304916005112138","0.292694742029727","0.329167496201634","0.306215455264888","0.326423463134433","0.292309296501472","0.295915703664909","0.293398934259558","0.293440711561173","0.301491820790227","0.310743703954567","0.361359933560154","0.31088257185998","0.313839939160524","0.321177830554577","0.312379459093395","0.324925202760097","0.319728878792836","0.390618861331646","0.324647866835098","0.302413695166245","0.302522229340997","0.285531771560562","0.324556183968865","0.300588842982129","0.306324299428274","0.333926107467398","0.333770433356453","0.303196228378842","0.341405152655418","0.310852624808428","0.309027591913943","0.32278966762943","0.272063451134631","0.31042052190248","0.301508915468588","0.323102094771247","0.327429232337984","0.334132289817328","0.30534434121674"
"mae","standard","28313.3026576609","26583.3996744661","27807.1418308091","28105.0272763636","27524.9661822192","28420.5822101623","28049.1328713842","27286.671245092","27538.2941001692","26868.607965746","28328.9549643345","27082.053080324","27084.9861622597","27374.7299734684","27413.9186454108","28786.6218617239","27056.158145523","27730.6640912335","28504.2554590157","27434.5835116364","27983.6689331923","27452.9775833304","27897.8148903152","27922.8191985463","28565.5699591651","27301.1462176705","29229.8573575246","27935.1247487831","27490.2745203134","26901.8567920679","29183.032248931","28487.1878402145","27378.5392147821","28330.8499908337","27321.1528703903","28148.4686077242","28095.31605149","27890.9163414725","27842.7818818764","26698.4513955287","27888.6831265716","28437.5104846108","28677.3138360132","27508.7877682968","28761.8685602641","27647.8500019618","26787.0285526897","27411.6476283076","27993.5402744978","28201.2380772193","28081.6233112507","27251.9011135083","27955.9452151922","26993.0898456557","28036.8343379389","27348.7967951995","26902.3453076983","27812.5805649869","27717.6662828414","28818.2470880212","28545.9353801497","28238.9669516059","27629.024857055","28135.0704783361","28070.0168408283","29039.2111094856","26737.1845824656","27022.9125805597","28549.7502152102","28572.3456510141","28271.8009131912","27239.4442155848","28188.3306435765","28390.558943854","27000.1301641777","27722.2099284179","28216.6362512245","27287.1516684856","26289.8702030056","27852.3486956069","28076.4804256161","27351.3675245887","29191.9301798103","27936.1366672857","27617.4362608996","28211.6798432229","28266.0545456514","28100.5548735023","28730.2581984927","26712.8687940735","27246.774882175","27700.8939452105","27769.1348845443","29450.9224990119","27982.5507758786","27489.120942617","28148.0595278038","28083.5198752232","27538.0447553691","27461.4226193332"
"Bias","Standard","1531.99619331596","877.325028413001","1841.23857228529","1649.7167120589","2583.71425713246","1931.80189510318","757.761901507869","878.611969207117","292.197441763345","-194.716732928959","1319.99975464256","1059.6367589303","968.09591398535","697.214888672952","1144.89042196024","2962.38636553349","894.816020177972","1179.34231015508","2384.64132497712","531.339960651702","2441.35365641387","1559.39092155312","558.297318791721","1715.1436465645","3624.6079639484","2238.94993653292","4291.17687266105","2792.203963265","1087.1245342056","577.191890200335","4330.92415064753","4038.56718096436","1091.82694392082","276.301669916318","1084.76189364677","3475.789232286","2822.47995033692","2280.94774949772","2297.80378950426","109.063750339572","1368.23503502697","1494.62503238082","1505.49178206691","3230.57262358883","2719.0054273934","2312.35295028744","3712.37009228844","2676.01684030503","2278.47073176976","1964.39418784098","2551.81104468203","1674.74858042429","1585.85238748555","499.680558064838","2528.8773408824","2173.42255612973","923.981131571392","3127.44159377674","1696.5355866217","3561.66156874098","1723.87954528332","1351.37332334648","3039.33353570835","1449.04609775411","2505.00516181687","3339.11366160189","-349.54813445819","593.352479838009","3701.47742278745","1786.25983606381","2682.63808062819","1779.03173664908","2553.36090678673","3891.14431061641","517.240771036694","1420.88185394394","3252.16610539252","523.063561487339","2137.32374131351","1161.06964723191","1576.08381851043","1463.01179662852","5857.78609177369","2433.6119416109","2060.25483770118","2271.13162217816","2251.34133645023","2114.40812893856","4197.27181272545","784.589158905857","506.96527007796","2760.77147616044","2213.26184532783","2999.28427697765","3018.8866810744","1012.20064832577","4060.7529277777","1793.9747404281","1401.17799212147","1233.34721382577"
"Gini","Standard","-0.0442545773817073","-0.0317840478014659","-0.0313540165648192","-0.0338477024415624","-0.0369543600695579","-0.0397401691557207","-0.0322947413610564","-0.0348789327972554","-0.0349017681901387","-0.0354204332179506","-0.0392787023197343","-0.0351198029115949","-0.0365475858143327","-0.0338233686775311","-0.033027441338163","-0.036909225389536","-0.0343394464352968","-0.0333407944926876","-0.0368115148644392","-0.0384200100766066","-0.0316957174845811","-0.0353381740460463","-0.0341807443710422","-0.0356793889695837","-0.0371790264475749","-0.0372067854996203","-0.039911304610996","-0.0364145107701006","-0.0388129499551724","-0.0376460990078158","-0.0400743053282895","-0.0399490279396559","-0.0365832231686909","-0.0373226121696462","-0.0352837312043448","-0.0346361489309857","-0.0335193673845424","-0.0350184165527025","-0.0368426398667907","-0.0324705629577693","-0.0383398297612985","-0.0342476756445649","-0.0377841943682142","-0.0311255182500645","-0.0342566467934375","-0.0366537377858549","-0.0378489964368782","-0.0367203681093997","-0.0332593502084819","-0.0428497880520808","-0.032150276630091","-0.0346418125163837","-0.0373138630116046","-0.0296222705369473","-0.0400045710325685","-0.0374718998800745","-0.0343978925743613","-0.036156298448077","-0.0360255376494933","-0.0397023073455784","-0.0350082363229376","-0.0386590515950047","-0.0362039082033334","-0.0341432369932591","-0.0392492070009212","-0.0402635193445349","-0.0321473768972282","-0.0352457754188436","-0.0352946850407534","-0.0388446822421429","-0.0363277645997186","-0.0340333756630571","-0.0374167705977015","-0.0362863474433652","-0.0329454790821728","-0.0345180084195817","-0.0375154439584549","-0.0346591871607416","-0.0301409012340628","-0.0359769140745811","-0.0359160523480568","-0.0322939168640914","-0.040006206570979","-0.036614722504055","-0.0346584781846104","-0.0372632934086141","-0.0404012180169957","-0.0387202840843202","-0.0356049775350584","-0.0343636796237661","-0.036801758288675","-0.0374921568122772","-0.035930495543198","-0.0380259641265184","-0.03540165219556","-0.0342876708937183","-0.039322975811956","-0.0371494266514674","-0.0342712094566195","-0.0352766701048495"
